Daily_Kos, The_Guardian, CNN, Fox, NY_post, The_Blaze
70,3,3,14,3,4
67,3,2,14,3,4
67,3,2,18,3,4
64,3,2,18,3,4
67,3,2,16,3,4
67,1,2,16,3,4
71,1,2,15,3,4
68,1,2,13,3,4
61,1,2,14,3,4
64,1,2,14,3,4
60,1,2,15,3,4
56,0,2,15,3,4
59,0,2,13,3,4
59,0,2,13,3,4
55,0,2,21,3,10
48,0,2,21,3,10
59,0,0,21,3,10
56,0,0,23,3,10
69,0,0,24,2,10
68,0,1,22,2,10
66,0,1,20,2,10
73,0,1,15,4,10
90,0,1,15,3,10
103,0,1,15,3,4
98,0,0,14,3,4
92,0,0,18,3,4
109,0,0,10,3,4
